# x_ref_m,y_ref_m,v_mps
-3.7398680,-6.9470964,5.8858811
-3.6902174,-7.3416784,5.5744160
-3.6205259,-7.7331455,5.2631156
-3.5231543,-8.1194495,4.9523035
-3.3889001,-8.4983808,4.6195986
-3.2190655,-8.8464640,4.2691740
-2.9910404,-9.1852383,3.8063616
-2.7287653,-9.4734798,3.9292643
-2.4451482,-9.7299063,3.9029308
-2.1248914,-9.9506968,3.8492985
-1.7596683,-10.1214266,3.9426007
-1.3714046,-10.2293092,4.1730210
-0.9808706,-10.2778313,4.3695210
-0.5796920,-10.2745042,4.5578754
-0.1881037,-10.2234683,4.7213759
0.1987467,-10.1286095,4.8730645
0.5718785,-9.9946996,4.9969017
0.9309211,-9.8239622,5.0445558
1.2708154,-9.6193133,4.9924246
1.5892932,-9.3810563,4.8904862
1.8798753,-9.1120456,4.7501945
2.1406157,-8.8101668,4.6265077
2.3606443,-8.4840090,4.5091538
2.5404663,-8.1246090,4.3906264
2.6661846,-7.7500123,4.3295848
2.7360786,-7.3589293,4.4373312
2.7495156,-6.9581723,4.5580653
2.7119054,-6.5694396,4.6986368
2.6295964,-6.1898787,4.8901770
2.4992670,-5.8119052,5.1807007
2.3331025,-5.4638068,5.4563457
2.1285660,-5.1221484,5.7374044
1.8950763,-4.7929163,6.0225706
1.6487141,-4.4866833,6.3346109
1.3824966,-4.1841160,6.6484967
1.1132713,-3.8958878,6.7658723
0.8360566,-3.6086402,6.8548262
0.5583938,-3.3231377,6.4820541
0.2850066,-3.0365546,6.1124807
0.0150536,-2.7394645,5.7722659
-0.2385678,-2.4365725,5.4347088
-0.4774973,-2.1142449,5.1070392
-0.6900317,-1.7730473,4.7649992
-0.8596442,-1.4290236,4.4061037
-0.9899412,-1.0510072,3.9575013
-1.0658943,-0.6673355,3.7987819
-1.0953510,-0.2724987,4.0876685
-1.0675088,0.1151717,4.2428670
-0.9801389,0.5036495,4.4831417
-0.8407290,0.8807512,4.7772979
-0.6666300,1.2350378,5.1178317
-0.4670804,1.5791461,5.5138296
-0.2538608,1.9155042,5.9577631
-0.0373260,2.2473689,6.0655468
0.1770754,2.5824303,6.0996393
0.3813005,2.9222610,6.0324781
0.5702763,3.2706475,6.0731575
0.7384360,3.6296534,6.2810697
0.8803719,3.9986342,6.4608783
0.9963649,4.3794804,6.6250277
1.0866091,4.7651783,6.6468364
1.1536068,5.1574525,6.6375286
1.1977993,5.5526673,6.3514961
1.2191594,5.9488086,6.0553633
1.2170901,6.3472677,5.7165646
1.1905015,6.7431805,5.3607267
1.1378927,7.1357960,4.9795319
1.0558314,7.5277838,4.5881399
0.9395829,7.9012533,4.1943391
0.7838753,8.2676696,3.8249601
0.6360762,8.6138275,3.0808247
0.4029829,8.9535185,2.0888716
0.0972009,9.1764489,1.9576154
-0.2928499,9.2928330,1.8263592
-0.6875096,9.2231056,1.8439302
-1.0242209,9.0031393,1.9035909
-1.2388018,8.6719407,1.9467062
-1.2775435,8.2776477,1.9666739
-1.2039481,7.8914257,2.3030153
-1.0785015,7.5289494,2.9588715
-0.9431600,7.1655704,3.6976177
-0.7943806,6.7900957,3.7338529
-0.6611243,6.4157448,2.8455860
-0.5961354,6.0187518,2.4821327
-0.6364138,5.6300251,2.3348371
-0.8167868,5.2719149,2.1790923
-1.1102186,5.0167120,2.1654803
-1.4757152,4.8693066,2.3650241
-1.8613254,4.7892528,3.1908101
-2.2567065,4.7447788,3.0981721
-2.6502385,4.6875014,1.9871403
-3.0259285,4.5558228,2.4505183
-3.3575857,4.3414104,2.8502231
-3.6283704,4.0547375,3.1345940
-3.8302662,3.7146159,3.5150259
-3.9684067,3.3439453,4.0167367
-4.0561039,2.9564663,4.5860752
-4.1059955,2.5634496,5.1015886
-4.1283328,2.1679425,5.5996940
-4.1310598,1.7704099,6.0859121
-4.1204867,1.3743870,6.5544502
-4.1012744,0.9786434,7.0051177
-4.0767267,0.5812782,7.4433637
-4.0496759,0.1868668,7.8496145
-4.0216145,-0.2090274,8.2358232
-3.9939136,-0.6055052,8.5979782
-3.9676573,-1.0003406,8.9272993
-3.9432219,-1.3976386,9.2449001
-3.9213355,-1.7927643,9.5350903
-3.9020171,-2.1894719,9.7185993
-3.8854686,-2.5860098,9.7480457
-3.8716720,-2.9823679,9.5257940
-3.8605300,-3.3796469,9.1754646
-3.8519443,-3.7759322,8.8104864
-3.8453858,-4.1731157,8.4419171
-3.8401205,-4.5698069,8.0581771
-3.8348793,-4.9667393,7.6755499
-3.8280479,-5.3635306,7.2953209
-3.8175250,-5.7604853,6.9247560
-3.8009798,-6.1565821,6.5627630
-3.7758028,-6.5525373,6.4745285
-3.7398680,-6.9470964,5.8858811
